,name,Fall 2015 acceptance rate,,
201,Louisiana Tech University,,,
201,University of North Carolina - Charlotte,,,
203,Ashland University,,,
204,Barry University,,,
205,Benedictine University,,,
206,Bowie State University,,,
207,Cardinal Stritch University,,,
208,Clark Atlanta University,,,
209,Cleveland State University,,,
210,East Carolina University,,,
211,East Tennessee State University,,,
212,Florida A&M University,,,
213,Florida Atlantic University,,,
214,Florida International University,,,
215,Georgia Southern University,,,
216,Georgia State University,,,
217,Indiana State University,,,
218,Indiana University of Pennsylvania,,,
219,Jackson State University,,,
220,Lamar University,,,
221,Lynn University,,,
222,Middle Tennessee State University,,,
223,Montana State University,,,
224,Morgan State University,,,
225,National-​Louis University,,,
226,New Mexico State University,,,
227,North Carolina A&T State University,,,
228,Northern Arizona University,,,
229,Nova Southeastern University,,,
230,Oakland University,,,
231,Old Dominion University,,,
232,Our Lady of the Lake University,,,
233,Portland State University,,,
234,Regent University,,,
235,Sam Houston State University,,,
236,South Carolina State University,,,
237,Tennessee State University,,,
238,Texas A&M University - Commerce,,,
239,Texas A&M University - Corpus Christi,,,
240,Texas A&M University - Kingsville,,,
241,Texas Southern University,,,
242,Texas Woman's University,,,
243,Trevecca Nazarene University,,,
244,Trinity International University,,,
245,University of Akron,,,
246,University of Alaska - Fairbanks,,,
247,University of Arkansas - Little Rock,,,
248,University of Colorado - Denver,,,
249,University of Louisiana - Lafayette,,,
250,University of Massachusetts - Boston,,,
251,University of Memphis,,,
252,University of Missouri - St. Louis,,,
253,University of Nebraska - Omaha,,,
254,University of Nevada - Las Vegas,,,
255,University of New Orleans,,,
256,University of Northern Colorado,,,
257,University of North Texas,,,
258,University of South Alabama,,,
259,University of Southern Mississippi,,,
260,University of Texas - Arlington,,,
261,University of Texas - El Paso,,,
262,University of Texas - San Antonio,,,
263,University of Toledo,,,
264,University of West Florida,,,
265,University of Wisconsin - Milwaukee,,,
266,Wayne State University,,,
267,Wichita State University,,,
268,Wright State University,,,
269,Alliant International University,,,
270,Argosy University,,,
271,California Institute of Integral Studies,,,
272,Capella University,,,
273,Colorado Technical University,,,
274,Idaho State University,,,
275,Northcentral University,,,
276,Trident University International,,,
277,Union Institute and University,,,
278,University of Phoenix,,,
279,Walden University,,,
280,Wilmington University,,,
